interval,wholesale_mean,wholesale_sum,retail_mean,retail_sum,seizure_mean,seizure_sum,seizure_log_mean,seizure_log_sum,gni_cap_mean,gni_cap_sum,gni_ppp_mean,gni_ppp_sum,gnicap_ppp_mean,gnicap_ppp_sum,gdp_growth_mean,gdp_growth_sum,gdp_dollar_mean,gdp_dollar_sum,gdp_dollar_log_mean,gdp_dollar_log_sum,gdpcap_dollar_mean,gdpcap_dollar_sum,gdpcap_dollar_log_mean,gdpcap_dollar_log_sum,exports_gdp_mean,exports_gdp_sum,exports_growth_mean,exports_growth_sum,exports_dollar_mean,exports_dollar_sum,imports_gdp_mean,imports_gdp_sum,imports_growth_mean,imports_growth_sum,imports_dollar_mean,imports_dollar_sum,military_gdp_mean,military_gdp_sum,military_govexp_mean,military_govexp_sum,military_dollar_mean,military_dollar_sum,public_order_mean,public_order_sum,cc_est_mean,cc_est_sum,cc_no_src_mean,cc_no_src_sum,cc_per_rnk_mean,cc_per_rnk_sum,cc_per_rnk_upper_mean,cc_per_rnk_upper_sum,cc_per_rnk_lower_mean,cc_per_rnk_lower_sum,cc_std_err_mean,cc_std_err_sum,ge_est_mean,ge_est_sum,ge_no_src_mean,ge_no_src_sum,ge_per_rnk_mean,ge_per_rnk_sum,ge_per_rnk_lower_mean,ge_per_rnk_lower_sum,ge_per_rnk_upper_mean,ge_per_rnk_upper_sum,ge_std_err_mean,ge_std_err_sum,pv_est_mean,pv_est_sum,pv_no_src_mean,pv_no_src_sum,pv_per_rnk_mean,pv_per_rnk_sum,pv_per_rnk_lower_mean,pv_per_rnk_lower_sum,pv_per_rnk_upper_mean,pv_per_rnk_upper_sum,pv_std_err_mean,pv_std_err_sum,rq_est_mean,rq_est_sum,rq_no_src_mean,rq_no_src_sum,rq_per_rnk_mean,rq_per_rnk_sum,rq_per_rnk_lower_mean,rq_per_rnk_lower_sum,rq_per_rnk_upper_mean,rq_per_rnk_upper_sum,rq_std_err_mean,rq_std_err_sum,rl_est_mean,rl_est_sum,rl_no_src_mean,rl_no_src_sum,rl_per_rnk_mean,rl_per_rnk_sum,rl_per_rnk_lower_mean,rl_per_rnk_lower_sum,rl_per_rnk_upper_mean,rl_per_rnk_upper_sum,rl_std_err_mean,rl_std_err_sum,va_est_mean,va_est_sum,va_no_src_mean,va_no_src_sum,va_per_rnk_mean,va_per_rnk_sum,va_per_rnk_lower_mean,va_per_rnk_lower_sum,va_per_rnk_upper_mean,va_per_rnk_upper_sum,va_std_err_mean,va_std_err_sum
1996,44044.9111111111,1982021,92.2666666666667,4152,1606236.90214367,72280660.5964651,10.9840564713977,494.282541212897,29603.1111111111,1332140,354537541476.5,15954189366442.5,26860,1208700,3.85792771427074,173.606747142183,364566046204.357,16405472079196.1,26.0928496475239,1174.17823413858,29126.6711691727,1310700.20261277,10.2164736318888,459.741313434998,49.522608644789,2228.5173890155,8.97826037770459,404.021716996706,134245928143.925,6041066766476.61,44.9291500040703,2021.81175018316,9.64029818455093,433.813418304792,125922602384.137,5666517107286.16,1.45130574393541,65.3087584770936,3.14917453652199,141.71285414349,5388523027.09629,242483536219.333,1.36666666666667,61.5,1.87227690219879,84.2524605989456,5.86666666666667,264,94.3088231404623,4243.8970413208,97.4102298312717,4383.46034240723,89.2704857720269,4017.17185974121,0.203447447220484,9.1551351249218,1.77343037128448,79.8043667078018,4.93333333333333,222,94.1469340006511,4236.6120300293,87.5531263563368,3939.89068603516,98.6520948621962,4439.34426879883,0.194361067811648,8.74624805152417,1.33571423821979,60.1071407198906,4.28888888888889,193,92.7916626824273,4175.62482070923,72.3493683709039,3255.72157669067,98.0884211222331,4413.97895050049,0.34571104645729,15.5569970905781,1.47684003776974,66.4578016996384,5.93333333333333,267,91.8599034627279,4133.69565582275,81.2681157430013,3657.06520843506,97.6328499688043,4393.47824859619,0.261633993850814,11.7735297232866,1.68499936792586,75.8249715566635,8.06666666666667,363,95.2895358615451,4288.02911376953,89.4894982231988,4027.02742004395,98.3008093939887,4423.53642272949,0.188002232048247,8.4601004421711,1.45182068347931,65.3319307565689,7.22222222222222,325,94.297014702691,4243.36566162109,82.0852401733398,3693.83580780029,99.9668324788411,4498.50746154785,0.210438655482398,9.46973949670792
2001,40975.756097561,3360012,84.6463414634146,6941,3141606.44817073,257611728.75,9.68024469732632,793.780065180758,34224.512195122,2806410,588174340346.064,48230295908377.3,33348.4146341463,2734570,1.89016993599556,154.993934751636,590263218612.293,48401583926208.1,26.5868744449582,2180.12370448657,36916.1254903601,3027122.29020953,10.4370260204786,855.836133679248,49.8387558737795,4086.77798164992,3.55656169887154,291.638059307466,234542431618.052,19232479392680.2,44.6828316744236,3663.99219730274,4.08353474100243,334.849848762199,212539109817.383,17428207005025.4,1.32899854522604,108.977880708535,2.9864626922374,244.889940763467,7667171102.22304,628708030382.289,1.49756097560976,122.8,1.7530801921356,143.752575755119,6.28048780487805,515,92.8978321726729,7617.62223815918,95.9281905569681,7866.11162567139,88.1329537368402,7226.9022064209,0.179070145255182,14.6837519109249,1.73838231621719,142.54734992981,4.9390243902439,405,93.4017956431319,7658.94724273682,87.437217154154,7169.85180664063,97.4878035754692,7993.99989318848,0.198160191679873,16.2491357177496,1.07617921963698,88.246696010232,6.41463414634146,526,84.0576584513594,6892.72799301148,67.0622983327726,5499.10846328735,94.512054815525,7749.98849487305,0.2812820538515,23.065128415823,1.48685148431034,121.921821713448,5.9390243902439,487,91.8191297577649,7529.16864013672,82.7706798460426,6787.19574737549,97.4861819569658,7993.86692047119,0.203556947955271,16.6916697323322,1.6241212269155,133.177940607071,8.82926829268293,724,93.777468053306,7689.7523803711,88.1243916023068,7226.20011138916,97.1319155809356,7964.81707763672,0.178606393497164,14.6457242667675,1.47618038770629,121.046791791916,8.87804878048781,728,94.4323874682915,7743.4557723999,85.0095204609197,6970.78067779541,99.4828276285311,8157.59186553955,0.183769726353447,15.0691175609827
2006,48405.6725663717,5469841,90.1592920353982,10188,2694337.57371598,304460145.829906,10.2606263631203,1159.45077903259,46973.0973451328,5307960,713608925126.767,80637808539324.7,39665.0442477876,4482150,1.25965837892016,142.341396817978,794027006363.282,89725051719050.9,26.9466996529581,3044.97706078426,48908.9580061898,5526712.25469945,10.7116157393996,1210.41257855215,51.8512859957404,5859.19531751866,3.00438714237638,339.495747088531,340769911436.057,38506999992274.4,48.3350359055159,5461.8590573233,2.75501368426198,311.316546321604,317448796298.558,35871713981737.1,1.33478290977993,150.830468805132,2.91806402491146,329.741234814995,10241522870.5895,1157292084376.61,1.55044247787611,175.2,1.59181835271616,179.875473856926,8.76106194690266,990,89.5425548047091,10118.3086929321,93.2117163734098,10532.9239501953,84.729853503472,9574.47344589233,0.169618379357642,19.1668768674135,1.5085509298122,170.466255068779,6.84070796460177,773,89.4852022829309,10111.8278579712,82.3542790033121,9306.03352737427,94.2806609162187,10653.7146835327,0.218536949395078,24.6946752816439,0.821051324890778,92.778799712658,7.71681415929204,872,76.3293209751095,8625.21327018738,60.3430044461141,6818.75950241089,88.0223111177968,9946.52115631104,0.246337124731688,27.8360950946808,1.41020798524924,159.353502333164,6.71681415929204,759,89.9370352145845,10162.8849792481,80.3209275102193,9076.26480865479,96.1444687969917,10864.3249740601,0.227190490581293,25.6725254356861,1.52531562336778,172.360665440559,10.8849557522124,1230,91.3616247936688,10323.8636016846,84.7030932671201,9571.44953918457,95.0931581480313,10745.5268707275,0.161776023760306,18.2806906849146,1.3424670226806,151.698773562908,11.0088495575221,1244,92.6017634974117,10463.9992752075,83.8524408931226,9475.32582092285,97.6598316293902,11035.5609741211,0.15147405190278,17.1165678650141
2011,51092.1424716969,6335425.66649042,92.1343122426516,11424.6547180888,2090017.70532259,259162195.460001,10.0744968389842,1249.23760803404,51459.5967741936,6380990,847450437533.855,105083854254198,44674.1935483871,5539600,0.951100477290975,117.936459184081,852862629929.93,105754966111311,27.0560752277217,3354.95332823748,52054.8788625773,6454804.97895959,10.7335154169675,1330.95591170397,54.6346296173088,6774.69407254629,4.09534602099234,507.82290660305,401779503355.503,49820658416082.3,48.7641327561792,6046.75246176622,2.84678946331166,353.001893450646,356344210508.968,44186682103112,1.22446246668501,151.833345868941,2.61430456001026,324.173765441272,10157589606.8076,1259541111244.15,1.60483870967742,199,1.56676869953592,194.279318742454,10.3145161290323,1279,88.7766733477193,11008.3074951172,91.7075030111498,11371.7303733826,84.6848060546383,10500.9159507751,0.143488459529415,17.7925689816475,1.49733940511942,185.670086234808,7.70967741935484,956,89.9519704080397,11154.0443305969,82.3618116994058,10212.8646507263,94.7170512906967,11744.9143600464,0.213580589501127,26.4839930981398,0.839504058187407,104.098503215238,8.70967741935484,1080,76.5718798791209,9494.91310501099,62.5699435049488,7758.67299461365,87.2496568003009,10818.9574432373,0.216480501356625,26.8435821682215,1.36767132748519,169.591244608164,7.70967741935484,956,87.9943854424261,10911.3037948608,80.0120978816863,9921.5001373291,93.9833284808743,11653.9327316284,0.227176077063045,28.1698335558176,1.53365455327495,190.173164606094,12.1209677419355,1503,90.6003532409668,11234.4438018799,84.251094541242,10447.135723114,94.185263049218,11678.972618103,0.154837723821402,19.1998777538538,1.34711470815443,167.04222381115,11.508064516129,1427,91.0726133161976,11293.0040512085,84.2215509414673,10443.4723167419,95.618502155427,11856.694267273,0.13897292508233,17.2326427102089
2016,45284.8409162283,4664338.61437152,81.4290515309933,8387.19230769231,4851104.77252428,499663791.570001,10.1573332193843,1046.20532159658,48161.7475728155,4960660,963711127636.191,99262246146527.7,52313.0097087379,5388240,2.4292994167064,250.217839920759,797403643111.562,82132575240490.8,27.0214975115496,2783.21424368961,50413.684473997,5192609.50082169,10.7177984176928,1103.93323702235,59.971253012475,6177.03906028493,4.17113684979841,429.627095529236,402513452691.247,41458885627198.5,54.2023029608654,5582.83720496914,4.77028082421212,491.338924893848,359141302052.768,36991554111435.1,1.17096104001879,120.608987121935,2.63613863208424,271.522279104677,9104265569.72877,937739353682.063,1.52038834951456,156.6,1.47513907876553,151.93932511285,10.2038834951456,1051,87.5373409604563,9016.346118927,90.8140403969774,9353.84616088867,83.1917479431745,8568.75003814697,0.14069504326987,14.4915894567967,1.4729642837661,151.715321227908,7.78640776699029,802,89.9411875530354,9263.94231796265,82.4775947644873,8495.19226074219,94.6741979654553,9751.44239044189,0.213365936018888,21.9766914099455,0.813501231806371,83.7906268760562,8.54368932038835,880,76.2386277948769,7852.57866287232,61.9219025917424,6377.95596694946,87.0646121201006,8967.65504837036,0.214931155148062,22.1379089802504,1.43080333251398,147.37274324894,7.77669902912621,801,89.1990290521418,9187.49999237061,81.6140771884363,8406.24995040894,94.5621731952556,9739.90383911133,0.226840670103008,23.3645890206099,1.4990065867461,154.397678434849,10.5436893203884,1086,90.3052648525794,9301.44227981567,84.5593725037806,8709.6153678894,93.6519796130727,9646.15390014649,0.162698362637492,16.7579313516617,1.33168905626223,137.16397279501,10.5436893203884,1086,91.78577600868,9453.93492889404,84.6128948174634,8715.12816619873,96.0105709335179,9889.08880615234,0.132227503486629,13.6194328591228
